City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,morehead,37.2711,-87.1764,27.86,82,0,0.0,US,1722819013
318,puerto aysen,-45.4,-72.7,3.01,99,100,1.38,CL,1722818892
319,ebaye,8.7748,167.7392,30.01,79,40,3.09,MH,1722819154
320,naze,28.3667,129.4833,31.51,72,15,6.71,JP,1722819155
321,labytnangi,66.6572,66.4183,9.35,61,100,9.14,RU,1722819156
322,izluchinsk,60.9794,76.9242,16.01,89,100,1.14,RU,1722819157
323,plastun,44.7561,136.2939,19.21,54,100,2.18,RU,1722819159
324,cambebba,-3.6209,-38.8291,28.76,80,8,5.44,BR,1722819160
325,palikir - national government center,6.9248,158.1611,31.41,70,75,4.12,FM,1722819161
326,castillos,-34.1667,-53.8333,10.17,83,99,2.03,UY,1722819162
327,masterton,-40.9597,175.6575,11.6,69,100,1.75,NZ,1722819163
328,puerto baquerizo moreno,-0.9,-89.6,19.64,85,26,5.63,EC,1722819164
329,torshalla,59.4167,16.4667,15.5,97,35,1.15,SE,1722819166
330,rongelap,11.1635,166.8941,28.73,78,73,6.46,MH,1722819168
331,coahuayana de hidalgo,18.7,-103.6583,27.31,83,100,1.49,MX,1722819191
332,bocas del toro,9.3333,-82.25,26.14,79,80,1.79,PA,1722819192
333,amparafaravola,-17.5833,48.2167,13.52,87,100,1.28,MG,1722819193
334,ghadamis,30.1337,9.5007,27.13,50,0,4.65,LY,1722819195
335,jizzax,40.1158,67.8422,24.71,25,2,2.67,UZ,1722819196
336,mitsamiouli,-11.3847,43.2844,24.44,62,1,2.69,KM,1722819197
337,mariental,-24.6333,17.9667,6.56,87,95,3.6,NA,1722819198
338,poronaysk,49.2167,143.1167,13.99,80,100,1.19,RU,1722819199
339,greenville,35.6127,-77.3663,26.09,97,100,4.12,US,1722818972
340,bhamo,24.2667,97.2333,24.61,96,100,0.35,MM,1722819201
341,yung shue wan,22.2333,114.1167,33.22,79,91,3.96,HK,1722819202
342,fort frances,48.5999,-93.4003,21.12,61,94,1.54,CA,1722819203
343,port alfred,-33.5906,26.891,12.61,60,1,10.61,ZA,1722819205
344,rabigh,22.7986,39.0349,31.62,75,96,1.85,SA,1722819206
345,stary krym,45.0333,35.1,18.14,90,52,2.18,UA,1722819207
346,barclayville,4.6797,-8.2339,23.32,88,53,1.18,LR,1722819208
347,muriae,-21.1306,-42.3664,18.99,85,0,2.33,BR,1722819030
348,aasiaat,68.7098,-52.8699,2.07,91,1,2.45,GL,1722819210
349,jamestown,42.097,-79.2353,23.8,60,0,2.57,US,1722819211
350,runka,12.4479,7.3092,23.08,87,97,4.84,NG,1722819212
351,lugulu,0.3936,34.3053,17.01,85,57,1.34,KE,1722819213
352,taulaga,-11.0553,-171.0883,27.09,81,100,5.6,AS,1722819215
353,dryden,49.7833,-92.7503,19.16,55,75,2.06,CA,1722819216
354,kalabo,-14.97,22.6814,15.07,28,5,2.01,ZM,1722819217
355,veinticinco de mayo,-35.4323,-60.1727,9.99,66,3,0.45,AR,1722818947
356,tindouf,27.6711,-8.1474,37.25,8,0,2.06,DZ,1722819219
357,birzebbuga,35.8258,14.5269,26.2,88,20,1.54,MT,1722819220
358,knysna,-34.0363,23.0471,8.24,72,4,3.73,ZA,1722819223
